customerid,name,contactinfo,address,email,phone,preferredpaymentmethod,creditlimit,accountstatus
1,Pavla,604-930-1910,,pstiegar0@mlb.com,517-317-9949,PayPal,,
2,Daune,247-304-6858,02046 Ridgeview Court,dnozzolii1@dailymotion.com,861-639-2872,Debit Card,31.87,Inactive
3,Nevile,681-573-1808,99 Hudson Place,nwoolpert2@omniture.com,284-481-9557,Credit Card,57.35,
4,Eustace,661-792-2250,1 Haas Trail,ecorbet3@dion.ne.jp,751-973-4999,Cash,72.25,Inactive
5,Elga,396-320-1096,47979 Grayhawk Point,ejudd4@blog.com,540-889-6804,Credit Card,22.53,Closed
6,Murray,177-906-9755,43 Ronald Regan Circle,,551-233-1800,Debit Card,42.29,
7,Lem,530-371-7416,01 Rieder Hill,lshelsher6@slideshare.net,426-218-5978,Credit Card,,Inactive
8,Reube,419-493-9840,760 Stephen Center,rrenfree7@issuu.com,196-557-6457,Debit Card,38.13,Pending
9,Sergeant,112-639-3137,8 Cordelia Avenue,sheazel8@google.de,264-566-2847,Credit Card,88.57,
10,Valeria,107-812-7906,,vsegoe9@is.gd,689-637-1334,,60.73,
11,Dory,246-900-1309,,dcayforda@free.fr,698-822-1727,PayPal,87.32,
12,Dwight,675-117-2701,66 Chinook Avenue,dcullingfordb@parallels.com,116-837-1990,Cash,44.61,Pending
13,Liliane,851-356-4510,811 Dayton Point,lbouldonc@youku.com,219-429-1035,Cash,84.35,Active
14,Juditha,604-481-4282,2479 Carberry Drive,jtidbaldd@slate.com,863-897-8129,Credit Card,42.38,Closed
15,Claudianus,681-286-4604,476 Anzinger Park,cqueyeiroe@meetup.com,310-967-9196,Debit Card,99.40,Inactive
16,Sayres,771-236-4915,9 Michigan Hill,slampreyf@blog.com,795-862-3372,Credit Card,32.90,Pending
17,Leslie,986-612-5455,4 Briar Crest Pass,leppg@unesco.org,609-649-3920,,,Pending
18,Waring,731-881-0894,34765 Lotheville Avenue,wvickerh@fotki.com,709-228-5038,Cash,82.65,Inactive
19,Xenia,374-335-3454,44778 Hoard Place,xconigsbyi@go.com,956-919-2242,Cash,50.94,Pending
20,Jermaine,671-460-0826,,jfrancktonj@mozilla.org,725-370-2354,PayPal,74.84,Active
21,Lucais,712-196-5551,,lfermork@shareasale.com,912-976-5343,PayPal,98.66,Active
22,Ritchie,214-407-9015,1 Thackeray Avenue,rbeminsterl@army.mil,663-805-9611,Debit Card,77.66,Pending
23,Washington,288-412-3803,76 Ruskin Crossing,,870-165-6236,Credit Card,88.37,Active
24,Eddy,983-250-1185,,eecclestonn@cbslocal.com,295-553-9441,Cash,80.06,Pending
25,Lief,459-959-6791,639 Dottie Hill,lwhiskino@e-recht24.de,148-299-6949,Debit Card,88.41,Closed
26,Talbot,619-581-1496,7807 Tennyson Junction,tcasarilip@github.io,482-145-0374,Credit Card,98.65,Closed
27,Lawton,281-382-4852,51 Weeping Birch Junction,lkibbeeq@mysql.com,906-129-7957,Credit Card,,Active
28,Iormina,647-522-4916,476 Kinsman Lane,iallnattr@imageshack.us,929-278-9689,PayPal,80.54,Active
29,Abbey,704-971-4064,3606 Mendota Park,ahulkss@360.cn,900-843-7076,Debit Card,57.93,Active
30,Sonia,943-121-2021,171 Hudson Court,,207-230-1245,Credit Card,,Closed
31,Marcela,477-973-1374,,mbarffu@slashdot.org,784-364-6314,Debit Card,83.32,
32,Findlay,876-841-1765,,fkindonv@php.net,943-668-4155,,55.60,Inactive
33,Marcus,657-330-2190,698 Pearson Alley,mmatasovw@prlog.org,447-258-6884,Cash,57.06,Pending
34,Talbot,624-320-9938,0966 Fairview Terrace,tdeanex@vk.com,279-733-7333,PayPal,23.25,Active
35,Gunar,744-664-8279,1345 Anthes Place,gbeaginy@hostgator.com,623-154-8054,Cash,28.33,Inactive
