CustomerKey,CustomerID,Name,Address,PreferredPaymentMethod,CreditLimit
1,1,Pavla,Unknown,PayPal,52.72
2,2,Daune,02046 Ridgeview Court,Debit Card,31.87
3,3,Nevile,99 Hudson Place,Credit Card,57.35
4,4,Eustace,1 Haas Trail,Cash,72.25
5,5,Elga,47979 Grayhawk Point,Credit Card,22.53
6,6,Murray,43 Ronald Regan Circle,Debit Card,42.29
7,7,Lem,01 Rieder Hill,Credit Card,52.72
8,8,Reube,760 Stephen Center,Debit Card,38.13
9,9,Sergeant,8 Cordelia Avenue,Credit Card,88.57
10,10,Valeria,Unknown,Unknown,60.73
11,11,Dory,Unknown,PayPal,87.32
12,12,Dwight,66 Chinook Avenue,Cash,44.61
13,13,Liliane,811 Dayton Point,Cash,84.35
14,14,Juditha,2479 Carberry Drive,Credit Card,42.38
15,15,Claudianus,476 Anzinger Park,Debit Card,99.4
16,16,Sayres,9 Michigan Hill,Credit Card,32.9
17,17,Leslie,4 Briar Crest Pass,Unknown,52.72
18,18,Waring,34765 Lotheville Avenue,Cash,82.65
19,19,Xenia,44778 Hoard Place,Cash,50.94
20,20,Jermaine,Unknown,PayPal,74.84
21,21,Lucais,Unknown,PayPal,98.66
22,22,Ritchie,1 Thackeray Avenue,Debit Card,77.66
23,23,Washington,76 Ruskin Crossing,Credit Card,88.37
24,24,Eddy,Unknown,Cash,80.06
25,25,Lief,639 Dottie Hill,Debit Card,88.41
26,26,Talbot,7807 Tennyson Junction,Credit Card,98.65
27,27,Lawton,51 Weeping Birch Junction,Credit Card,52.72
28,28,Iormina,476 Kinsman Lane,PayPal,80.54
29,29,Abbey,3606 Mendota Park,Debit Card,57.93
30,30,Sonia,171 Hudson Court,Credit Card,52.72
31,31,Marcela,Unknown,Debit Card,83.32
32,32,Findlay,Unknown,Unknown,55.6
33,33,Marcus,698 Pearson Alley,Cash,57.06
34,34,Talbot,0966 Fairview Terrace,PayPal,23.25
35,35,Gunar,1345 Anthes Place,Cash,28.33
36,36,Walt,02 Moulton Plaza,PayPal,35.74
37,37,Francesca,42 Red Cloud Center,Unknown,64.6
38,38,Jocelin,388 Shopko Place,Debit Card,52.72
39,39,Stormy,14798 Hauk Hill,Debit Card,77.12
40,40,Terza,19 Lighthouse Bay Way,Credit Card,52.72
41,41,Kelby,Unknown,Debit Card,52.72
42,42,Baxy,54938 Garrison Trail,Debit Card,35.5
43,43,Kat,Unknown,Debit Card,60.68
44,44,Neils,Unknown,PayPal,32.29
45,45,Inna,4683 Maple Wood Road,PayPal,55.14
46,46,Hillary,176 Bunting Crossing,Unknown,58.79
47,47,Katleen,75 1st Street,Credit Card,25.44
48,48,Deny,Unknown,PayPal,12.2
49,49,Evvie,2 Kedzie Court,PayPal,52.72
50,50,Fancy,129 Vahlen Junction,PayPal,22.05
51,51,Constantia,18277 Clemons Point,Debit Card,47.16
52,52,Silvana,301 Aberg Alley,Unknown,52.72
53,53,Melina,5 Arrowood Place,Debit Card,49.91
54,54,Taite,Unknown,Debit Card,52.95
55,55,Truda,3 Magdeline Trail,Credit Card,48.18
56,56,Dick,Unknown,PayPal,46.45
57,57,Sherman,2 Bashford Circle,Credit Card,18.04
58,58,Noak,7 Oriole Park,Debit Card,54.92
59,59,Phillipp,0 Lake View Lane,PayPal,52.72
60,60,Marylinda,5 Service Park,Cash,52.72
61,61,Bev,679 Paget Place,Credit Card,53.56
62,62,Maddy,9562 Hauk Terrace,Unknown,77.24
63,63,Willie,Unknown,Credit Card,87.09
64,64,Elvira,237 Anniversary Crossing,PayPal,51.12
65,65,Lynn,635 Eagan Lane,Debit Card,57.95
66,66,Loutitia,7 Hoffman Hill,Debit Card,37.41
67,67,Shanan,Unknown,Credit Card,58.72
68,68,Pattie,Unknown,Cash,48.68
69,69,Sukey,Unknown,Unknown,52.78
70,70,Faydra,Unknown,Unknown,88.65
71,71,Carine,5 Gina Circle,Cash,32.89
72,72,Natasha,Unknown,Debit Card,42.65
73,73,Zulema,0800 Hoffman Avenue,PayPal,76.33
